patch_id,year,clearing_type
1709,2021,skip
1787,2021,not_clearcut
1793,2021,skip
1815,2021,skip
1833,2021,clearcut
1839,2021,not_clearcut
1897,2021,skip
1929,2021,not_clearcut
1942,2021,not_clearcut
1977,2021,skip
1994,2021,not_clearcut
2049,2021,not_clearcut
2063,2021,not_clearcut
2138,2021,skip
2278,2021,not_clearcut
2293,2021,not_clearcut
2295,2021,clearcut
2344,2021,clearcut
2433,2021,skip
2496,2021,not_clearcut
2506,2022,skip
2536,2022,clearcut
2541,2022,not_clearcut
2576,2022,not_clearcut
2589,2022,clearcut
2650,2022,not_clearcut
2669,2022,skip
2689,2022,clearcut
2692,2022,clearcut
2715,2022,not_clearcut
2742,2022,not_clearcut
2782,2022,skip
2789,2022,not_clearcut
2799,2022,skip
2895,2022,not_clearcut
2936,2022,not_clearcut
3004,2022,not_clearcut
3041,2022,not_clearcut
3048,2022,not_clearcut
3082,2022,not_clearcut
3096,2022,not_clearcut
3111,2022,not_clearcut
3130,2022,not_clearcut
3133,2022,not_clearcut
3140,2022,not_clearcut
3177,2022,not_clearcut
3188,2022,not_clearcut
3228,2022,not_clearcut
3260,2022,clearcut
3299,2022,not_clearcut
3305,2022,not_clearcut
3384,2022,not_clearcut
3449,2022,not_clearcut
3863,2022,not_clearcut
3956,2022,not_clearcut
3359,2024,not_clearcut
3500,2024,clearcut
4074,2024,not_clearcut
4179,2024,not_clearcut
4211,2024,not_clearcut
4213,2024,not_clearcut
4236,2024,not_clearcut
4243,2024,not_clearcut
4261,2024,clearcut
4338,2024,skip
4422,2024,clearcut
4425,2024,skip
4432,2024,not_clearcut
4433,2024,not_clearcut
4439,2024,clearcut
4550,2024,not_clearcut
4553,2024,clearcut
4594,2024,skip
4611,2024,skip
4622,2024,clearcut
4667,2024,clearcut
4684,2024,clearcut
4704,2024,clearcut
4735,2024,not_clearcut
4737,2024,not_clearcut
4753,2024,skip
4769,2024,skip
4790,2024,clearcut
4800,2024,not_clearcut
4801,2024,not_clearcut
4814,2024,not_clearcut
4844,2024,clearcut
4899,2024,clearcut
4975,2024,clearcut
4984,2024,not_clearcut
200,2019,skip
736,2019,not_clearcut
72,2019,not_clearcut
681,2019,not_clearcut
29,2019,not_clearcut
283,2019,not_clearcut
486,2019,not_clearcut
506,2019,not_clearcut
181,2019,not_clearcut
325,2019,not_clearcut
643,2019,not_clearcut
206,2019,not_clearcut
452,2019,not_clearcut
477,2019,not_clearcut
582,2019,not_clearcut
229,2019,not_clearcut
502,2019,not_clearcut
358,2019,not_clearcut
1431,2019,not_clearcut
636,2019,not_clearcut
553,2019,skip
490,2019,not_clearcut
541,2019,not_clearcut
309,2019,not_clearcut
112,2019,not_clearcut
331,2019,not_clearcut
788,2019,skip
98,2019,skip
319,2019,not_clearcut
498,2019,not_clearcut
349,2019,not_clearcut
19,2019,not_clearcut
455,2019,not_clearcut
666,2019,skip
796,2019,not_clearcut
213,2019,not_clearcut
484,2019,not_clearcut
531,2019,not_clearcut
375,2019,not_clearcut
460,2019,not_clearcut
23,2019,skip
411,2019,not_clearcut
752,2019,not_clearcut
740,2019,not_clearcut
126,2019,not_clearcut
7,2019,not_clearcut
381,2019,skip
737,2019,not_clearcut
602,2019,not_clearcut
224,2019,skip
163,2019,skip
624,2019,skip
453,2019,not_clearcut
123,2019,not_clearcut
51,2019,not_clearcut
501,2019,not_clearcut
295,2019,not_clearcut
176,2019,not_clearcut
68,2019,not_clearcut
593,2019,not_clearcut
571,2019,not_clearcut
312,2019,not_clearcut
263,2019,skip
345,2019,not_clearcut
574,2019,not_clearcut
209,2019,not_clearcut
265,2019,not_clearcut
596,2019,not_clearcut
827,2019,not_clearcut
585,2019,not_clearcut
2086,2019,not_clearcut
216,2019,not_clearcut
823,2019,not_clearcut
637,2019,not_clearcut
93,2019,not_clearcut
813,2019,not_clearcut
797,2019,not_clearcut
396,2019,not_clearcut
628,2019,not_clearcut
253,2019,not_clearcut
434,2019,not_clearcut
170,2019,not_clearcut
318,2019,not_clearcut
21,2019,not_clearcut
533,2019,not_clearcut
92,2019,not_clearcut
64,2019,not_clearcut
777,2019,not_clearcut
157,2019,not_clearcut
332,2019,skip
554,2019,not_clearcut
678,2019,not_clearcut
395,2019,not_clearcut
107,2019,not_clearcut
665,2019,not_clearcut
409,2019,not_clearcut
494,2019,not_clearcut
814,2019,skip
701,2019,not_clearcut
440,2019,not_clearcut
1255,2020,not_clearcut
1016,2020,not_clearcut
876,2020,not_clearcut
927,2020,not_clearcut
1392,2020,not_clearcut
1354,2020,not_clearcut
1598,2020,skip
877,2020,not_clearcut
1651,2020,not_clearcut
953,2020,not_clearcut
1105,2020,not_clearcut
1555,2020,not_clearcut
1130,2020,not_clearcut
234,2020,not_clearcut
1609,2020,skip
1247,2020,not_clearcut
1443,2020,not_clearcut
887,2020,not_clearcut
1369,2020,not_clearcut
1148,2020,not_clearcut
1506,2020,not_clearcut
1074,2020,not_clearcut
1391,2020,not_clearcut
1372,2020,clearcut
1211,2020,not_clearcut
3409,2023,not_clearcut
3803,2023,not_clearcut
3906,2023,not_clearcut
3557,2023,not_clearcut
3854,2023,not_clearcut
4139,2023,not_clearcut
3971,2023,not_clearcut
3672,2023,skip
3358,2023,not_clearcut
3958,2023,not_clearcut
3389,2023,not_clearcut
3686,2023,not_clearcut
3647,2023,not_clearcut
4026,2023,not_clearcut
4107,2023,skip
3764,2023,not_clearcut
3571,2023,not_clearcut
3352,2023,not_clearcut
4038,2023,not_clearcut
3937,2023,skip
3466,2023,not_clearcut
3709,2023,not_clearcut
3380,2023,not_clearcut
3517,2023,not_clearcut
4451,2023,not_clearcut
3776,2023,not_clearcut
4069,2023,not_clearcut
3469,2023,not_clearcut
3853,2023,not_clearcut
3370,2023,skip
4104,2023,not_clearcut
4084,2023,skip
3925,2023,not_clearcut
3421,2023,not_clearcut
3748,2023,not_clearcut
3734,2023,skip
3915,2023,skip
3360,2023,not_clearcut
3700,2023,skip
3650,2023,not_clearcut
3698,2023,not_clearcut
4046,2023,skip
3391,2023,not_clearcut
4061,2023,not_clearcut
3892,2023,not_clearcut
3379,2023,not_clearcut
3596,2023,not_clearcut
3785,2023,not_clearcut
3576,2023,not_clearcut
3904,2023,not_clearcut
3693,2023,not_clearcut
3989,2023,not_clearcut
3927,2023,not_clearcut
4044,2023,not_clearcut
3536,2023,not_clearcut
3375,2023,not_clearcut
3507,2023,not_clearcut
4136,2023,not_clearcut
3612,2023,skip
4080,2023,not_clearcut
3821,2023,skip
3948,2023,not_clearcut
3434,2023,not_clearcut
3542,2023,not_clearcut
3794,2023,not_clearcut
3544,2023,not_clearcut
4086,2023,not_clearcut
3567,2023,skip
4130,2023,not_clearcut
4116,2023,skip
3665,2023,not_clearcut
4034,2023,not_clearcut
3629,2023,not_clearcut
4149,2023,not_clearcut
3770,2023,not_clearcut
3590,2023,skip
3736,2023,skip
3721,2023,not_clearcut
3799,2023,not_clearcut
3545,2023,skip
3076,2023,not_clearcut
3816,2023,not_clearcut
3705,2023,not_clearcut
3834,2023,skip
3952,2023,not_clearcut
3835,2023,not_clearcut
4138,2023,not_clearcut
3701,2023,skip
3400,2023,clearcut
3992,2023,clearcut
3923,2023,not_clearcut
3633,2023,not_clearcut
4128,2023,not_clearcut
3350,2023,not_clearcut
3508,2023,not_clearcut
4121,2023,not_clearcut
4092,2023,not_clearcut
3884,2023,skip
3530,2023,skip
3804,2023,not_clearcut
