id,year,lossyear,longitude,latitude
1709,2021,21.0,145.9766078825134,-42.764215885415865
1787,2021,21.0,146.4509183525285,-42.26115932630893
1793,2021,21.0,145.97930282836575,-42.769605777120574
1815,2021,21.0,146.45002003724437,-42.26565090272952
1833,2021,21.0,146.4724779193474,-42.58904440501256
1839,2021,21.0,146.44822340667616,-42.26115932630893
1897,2021,21.0,146.05835457336826,-42.5126876058624
1929,2021,21.0,146.34312051843415,-43.04628688462938
1942,2021,21.0,146.07632087905068,-42.49292466961177
1977,2021,21.0,145.98379440478635,-42.77319903825705
1994,2021,21.0,146.10057539172192,-42.211751985682355
2049,2021,21.0,145.68824867631105,-42.74445294916522
2063,2021,21.0,146.05386299694766,-42.51178929057828
2138,2021,21.0,146.34671377957062,-43.04269362349291
2278,2021,21.0,146.46259645122203,-42.25936269574069
2293,2021,21.0,146.0592528886524,-42.51178929057828
2295,2021,21.0,146.36647671582125,-42.24768459704714
2344,2021,21.0,146.4958341167345,-42.39321167307449
2433,2021,21.0,145.981099458934,-42.75523273257467
2496,2021,21.0,145.66848574006042,-42.738164742176394
2506,2022,22.0,146.49224085559803,-42.58634945916019
2536,2022,22.0,146.2847300249664,-42.21983682323943
2541,2022,22.0,145.81311450080364,-42.87201371951021
2576,2022,22.0,145.80952123966716,-42.86842045837372
2589,2022,22.0,146.4554099289491,-42.60701071069494
2650,2022,22.0,145.9065392903521,-42.63755343035501
2669,2022,22.0,145.98559103535462,-43.00765932741224
2689,2022,22.0,146.30179801536468,-42.23331155250122
2692,2022,22.0,146.45361329838084,-42.6052140801267
2715,2022,22.0,145.8975561375109,-42.633960169218525
2742,2022,22.0,145.96133652268338,-42.99957448985518
2782,2022,22.0,146.38444302150367,-42.908844646159096
2789,2022,22.0,145.95953989211512,-42.42734765387104
2799,2022,22.0,146.45900319008558,-42.26744753329777
2895,2022,22.0,145.98379440478635,-42.40758471762041
2936,2022,22.0,146.4679863429268,-42.48753477790704
3004,2022,22.0,145.81131787023543,-42.86931877365784
3041,2022,22.0,146.46708802764266,-42.48483983205469
3048,2022,22.0,145.91462412790918,-42.64294332205972
3082,2022,22.0,145.96492978381983,-43.000472805139296
3096,2022,22.0,145.97121799080867,-43.01933742610581
3111,2022,22.0,145.90474265978384,-42.633960169218525
3130,2022,22.0,145.8211993383607,-42.87920024178315
3133,2022,22.0,145.9164207584774,-42.641146691491485
3140,2022,22.0,146.39073122849248,-42.908844646159096
3177,2022,22.0,145.91103086677265,-42.62407870109321
3188,2022,22.0,145.8993527680791,-42.633960169218525
3228,2022,22.0,145.81580944665598,-42.871115404226074
3260,2022,22.0,146.28562834025053,-42.21983682323943
3299,2022,22.0,145.85803026500963,-42.88908170990847
3305,2022,22.0,145.97570956722927,-43.0148458496852
3384,2022,22.0,145.9739129366611,-42.421957762166315
3449,2022,22.0,145.80952123966716,-42.853149098543696
3863,2022,22.0,145.80143640211008,-42.88009855706727
3956,2022,22.0,145.9083359209203,-42.63755343035501
3359,2024,24.0,145.9442685322851,-42.819911433031265
3500,2024,24.0,146.4634947665062,-42.35997400756207
4074,2024,24.0,146.11135517513134,-42.628570277513816
4179,2024,24.0,146.39073122849248,-42.289007100116635
4211,2024,24.0,145.95864157683098,-42.86662382780548
4213,2024,24.0,145.96133652268338,-42.86033562081664
4236,2024,24.0,146.4140874258796,-42.854047413827814
4243,2024,24.0,145.94516684756923,-42.84775920683897
4261,2024,24.0,146.48056275690448,-42.6833675098451
4338,2024,24.0,146.15896588518967,-42.61779049410437
4422,2024,24.0,146.47517286519974,-42.63935006092325
4425,2024,24.0,146.48595264860916,-42.988794706445745
4432,2024,24.0,145.9227089654662,-42.71930012120988
4433,2024,24.0,145.92181065018212,-42.720198436494
4439,2024,24.0,146.48415601804095,-42.63845174563913
4550,2024,24.0,146.4787661263362,-42.61240060239966
4553,2024,24.0,146.47966444162034,-42.67797761814039
4594,2024,24.0,146.16076251575788,-42.615095548252015
4611,2024,24.0,145.89396287637442,-42.27193910971836
4622,2024,24.0,146.45451161366498,-42.62318038580909
4667,2024,24.0,146.4554099289491,-42.62318038580909
4684,2024,24.0,146.48505433332502,-42.68246919456098
4704,2024,24.0,146.4554099289491,-42.61599386353613
4735,2024,24.0,145.92899717245507,-42.706723707232214
4737,2024,24.0,146.46618971235853,-42.68875740154982
4753,2024,24.0,145.9227089654662,-42.692350662686295
4769,2024,24.0,145.92360728075033,-42.70492707666397
4790,2024,24.0,146.47337623463147,-42.63845174563913
4800,2024,24.0,145.96043820739925,-42.86931877365784
4801,2024,24.0,145.92450559603446,-42.718401805925765
4814,2024,24.0,146.45271498309677,-42.24858291233126
4844,2024,24.0,146.4509183525285,-42.61779049410437
4899,2024,24.0,146.4742745499156,-42.63036690808205
4975,2024,24.0,146.289221601387,-42.2279216607965
4984,2024,24.0,146.4086975341749,-42.85494572911193
200,2019,19.0,145.58584073392143,-42.628570277513816
736,2019,19.0,146.32605252803592,-42.93220084354621
72,2019,19.0,146.29281486252347,-42.64024837620737
681,2019,19.0,145.6487228038098,-42.945675572808
